Date,Description,Amount,Category
2025-08-10,Doctor Clinic,397.47,Health
2025-11-07,Cinema,166.33,Entertainment
2025-10-14,Pharmacy,314.32,Health
2025-06-12,Train Ticket,390.38,Travel
2025-10-09,Emirates Airline,496.62,Travel
2025-10-31,Water Bill,38.28,Utilities
2025-08-18,McDonalds,389.35,Food
2025-10-18,Sui Gas,489.09,Utilities
2025-09-12,Sui Gas,55.28,Utilities
2025-06-24,Cloud Storage,108.36,Subscriptions
2026-01-03,Train Ticket,120.15,Travel
2025-08-27,Train Ticket,197.79,Travel
2025-08-24,Netflix Subscription,282.93,Subscriptions
2025-12-26,Sambosa,345.36,Food
2025-12-26,Imtiaz Super Market,81.63,Shopping
2025-04-15,Amazon,265.66,Shopping
2025-05-13,Starbucks,29.99,Food
2025-07-11,Emirates Airline,35.01,Travel
2025-10-03,Netflix Subscription,228.17,Subscriptions
2026-02-13,House Leasing,28.61,Rent
2025-08-05,Chai,161.85,Food
2026-02-28,Water Bill,226.57,Utilities
2025-06-29,PIA Ticket,39.48,Travel
2025-04-21,Walmart,164.51,Shopping
2026-03-20,Emirates Airline,107.3,Travel
2026-03-14,Emirates Airline,487.36,Travel
2026-02-20,Doctor Clinic,127.75,Health
2025-09-07,Nueplex,493.38,Entertainment
2025-09-15,Concert Ticket,202.4,Entertainment
2025-03-28,House Leasing,454.52,Rent
2025-11-12,Gym Membership,112.26,Subscriptions
2025-12-14,Nueplex,420.75,Entertainment
2025-09-17,Bus Ticket,158.18,Transport
2025-10-02,Careem,214.04,Transport
2025-09-21,Train Ticket,447.72,Travel
2025-09-02,Panadol,118.72,Health
2025-09-01,Target,276.48,Shopping
2025-05-12,Cinema,171.59,Entertainment
2025-09-07,Spotify Premium,65.13,Subscriptions
2025-03-31,Foodpanda,416.14,Food
2025-07-01,Gym Membership,125.75,Subscriptions
2025-06-27,Gym Membership,368.47,Subscriptions
2025-07-22,PSO Pump,488.42,Transport
2026-01-10,Shell Oil,70.59,Transport
2025-09-26,Walmart,177.86,Shopping
2025-05-19,House Leasing,253.51,Rent
2025-06-14,Electric Bill,210.22,Utilities
2025-06-06,Chai,53.08,Food
2025-11-21,Foodpanda,55.75,Food
2025-10-07,Sambosa,325.03,Food
2025-11-03,Nueplex,336.33,Entertainment
2025-11-21,KFC,126.01,Food
2025-05-18,Spotify Premium,447.98,Subscriptions
2025-07-07,Water Bill,218.25,Utilities
2025-06-17,Apartment Rent,258.99,Rent
2025-11-26,Water Bill,119.76,Utilities
2025-12-26,McDonalds,366.34,Food
2025-03-21,K-Electric,223.0,Utilities
2025-04-02,Pharmacy,252.8,Health
2025-05-13,Cafe,367.8,Food
2025-11-30,Spotify Premium,311.87,Subscriptions
2025-10-15,Apartment Rent,15.73,Rent
2026-01-25,Water Bill,381.7,Utilities
2025-09-22,McDonalds,207.29,Food
2026-01-10,Foodpanda,297.0,Food
2025-07-27,Apartment Rent,104.14,Rent
2025-07-09,K-Electric,383.12,Utilities
2025-09-06,Daraz,402.79,Shopping
2025-04-20,Sui Gas,176.55,Utilities
2025-05-29,PTCL Internet,135.7,Utilities
2025-09-03,Walmart,188.93,Shopping
2025-07-05,Spotify Premium,156.61,Subscriptions
2025-07-26,Cloud Storage,146.25,Subscriptions
2025-04-28,Electric Bill,377.59,Utilities
2025-04-01,Chai,178.38,Food
2025-12-02,Spotify Premium,436.2,Subscriptions
2025-07-02,Apartment Rent,486.63,Rent
2025-11-26,Cinema,252.72,Entertainment
2025-05-23,Imtiaz Super Market,448.35,Shopping
2025-08-30,Spotify Premium,226.95,Subscriptions
2025-12-25,Gym Membership,26.13,Subscriptions
2025-10-24,Gym Membership,30.65,Subscriptions
2025-04-04,Water Bill,167.93,Utilities
2025-06-07,Doctor Clinic,90.59,Health
2026-02-06,Grocery,491.48,Shopping
2025-07-16,Petrol,438.52,Transport
2025-05-22,Emirates Airline,263.06,Travel
2026-02-01,KFC,374.84,Food
2025-05-30,Apartment Rent,303.74,Rent
2025-11-05,Gym Membership,422.62,Subscriptions
2025-08-17,Medical Store,498.09,Health
2026-02-19,Cinema,114.11,Entertainment
2025-09-14,Doctor Clinic,36.64,Health
2025-06-02,Steam Games,214.92,Entertainment
2025-10-11,InDrive,70.29,Transport
2026-02-02,PIA Ticket,271.75,Travel
2026-02-13,Train Ticket,241.36,Travel
2025-05-16,Hotel Booking,346.41,Travel
2025-08-01,Nueplex,92.34,Entertainment
2025-05-18,Cloud Storage,427.84,Subscriptions
2026-02-26,Netflix Subscription,498.2,Subscriptions
2025-12-14,PTCL Internet,274.19,Utilities
2025-12-06,K-Electric,327.37,Utilities
2025-04-02,Panadol,235.43,Health
2026-03-16,Doctor Clinic,144.15,Health
2025-12-10,House Leasing,143.23,Rent
2025-07-10,Hostel Dues,120.85,Rent
2025-09-23,Netflix Subscription,332.48,Subscriptions
2026-01-18,Electric Bill,323.92,Utilities
2025-12-02,Emirates Airline,400.83,Travel
2026-01-22,Walmart,7.0,Shopping
2026-01-24,Apartment Rent,210.72,Rent
2025-05-22,Daraz,49.96,Shopping
2025-04-18,Electric Bill,144.34,Utilities
2025-06-08,Hostel Dues,154.31,Rent
2025-05-05,Shell Oil,333.19,Transport
2025-05-12,InDrive,330.02,Transport
2025-07-26,Cloud Storage,405.25,Subscriptions
2025-10-07,Eid Clothes,485.47,Shopping
2025-08-27,Starbucks,87.37,Food
2025-09-29,Gym Membership,415.66,Subscriptions
2026-02-02,Hotel Booking,499.11,Travel
2025-06-26,Sui Gas,270.76,Utilities
2026-03-08,Eid Clothes,62.29,Shopping
2025-12-19,Sambosa,173.59,Food
2025-12-20,PTCL Internet,201.58,Utilities
2025-03-23,Gym Membership,133.16,Subscriptions
2025-11-29,K-Electric,102.29,Utilities
2025-04-27,Cloud Storage,277.59,Subscriptions
2026-01-22,Bazaar,325.93,Shopping
2025-12-14,House Leasing,205.67,Rent
2025-11-07,Emirates Airline,33.33,Travel
2025-03-20,Petrol,350.85,Transport
2025-04-10,Bykea,199.57,Transport
2025-05-17,Shell Oil,134.93,Transport
2025-10-02,Cloud Storage,7.52,Subscriptions
2025-06-09,Doctor Clinic,457.4,Health
2026-02-20,Doctor Clinic,202.85,Health
2026-03-10,Sambosa,288.15,Food
2025-11-20,Cinema,82.78,Entertainment
2025-03-27,Concert Ticket,411.63,Entertainment
2025-05-14,K-Electric,263.73,Utilities
2025-11-05,Netflix Subscription,364.21,Subscriptions
2025-09-01,Uber Ride,266.5,Transport
2025-05-08,Hotel Booking,440.66,Travel
2026-03-10,Spotify Premium,306.3,Subscriptions
2026-02-26,Sui Gas,7.7,Utilities
2025-07-06,Concert Ticket,329.59,Entertainment
2025-05-30,Hostel Dues,211.64,Rent
2025-11-28,Cinema,376.4,Entertainment
2025-10-04,Gym Membership,158.71,Subscriptions
2025-06-25,Spotify Premium,478.85,Subscriptions
2026-01-10,Spotify Premium,48.24,Subscriptions
2025-11-14,Bykea,381.88,Transport
2025-10-18,Steam Games,392.1,Entertainment
2025-05-02,Walmart,142.07,Shopping
2025-05-07,Foodpanda,283.99,Food
2025-03-28,Gym Membership,229.77,Subscriptions
2025-04-24,Agha Khan Hospital,231.52,Health
2025-10-05,House Leasing,490.03,Rent
2025-09-02,House Leasing,185.96,Rent
2025-04-08,Agha Khan Hospital,217.03,Health
2025-08-14,Bus Ticket,17.77,Transport
2025-11-03,Agha Khan Hospital,56.7,Health
2026-03-03,PTCL Internet,477.72,Utilities
2025-03-30,InDrive,151.3,Transport
2026-01-23,Water Bill,293.14,Utilities
2025-12-17,Uber Ride,307.6,Transport
2025-10-18,Panadol,67.19,Health
2026-02-09,Cinema,74.91,Entertainment
2025-09-15,Walmart,414.03,Shopping
2025-05-18,Imtiaz Super Market,367.34,Shopping
2025-07-19,KFC,174.3,Food
2025-12-10,K-Electric,418.53,Utilities
2025-10-16,Hostel Dues,70.48,Rent
2025-07-01,Cinema,465.56,Entertainment
2025-12-16,Chai,355.03,Food
2025-07-21,Grocery,89.16,Shopping
2025-04-14,Agha Khan Hospital,230.99,Health
2026-02-19,KFC,203.14,Food
2025-07-20,Netflix Subscription,426.4,Subscriptions
2025-05-22,Sambosa,211.38,Food
2025-07-10,Bykea,184.65,Transport
2025-08-19,PTCL Internet,258.32,Utilities
2025-07-05,Chai,13.7,Food
2025-08-19,Cloud Storage,141.36,Subscriptions
2026-03-12,Restaurant,484.62,Food
2026-03-01,PTCL Internet,463.25,Utilities
2026-01-23,Cafe,95.59,Food
2025-09-12,Gym Membership,386.59,Subscriptions
2026-03-15,House Leasing,335.55,Rent
2025-12-25,Netflix Subscription,405.83,Subscriptions
2025-12-25,Nueplex,318.39,Entertainment
2025-09-28,Train Ticket,77.85,Travel
2025-03-22,Apartment Rent,135.85,Rent
2025-07-27,KFC,42.5,Food
2025-05-27,Sambosa,413.0,Food
2025-10-06,Train Ticket,127.23,Travel
2025-10-22,Hotel Booking,352.09,Travel
2026-03-06,Hostel Dues,98.31,Rent
2025-09-06,Cafe,332.5,Food
2025-08-10,Spotify Premium,90.63,Subscriptions
2025-12-05,Daraz,146.88,Shopping
2026-02-15,Restaurant,444.56,Food
2025-05-22,Hostel Dues,484.24,Rent
2025-05-09,Nueplex,68.1,Entertainment
2026-02-04,Petrol,242.48,Transport
2026-02-17,Target,420.05,Shopping
2025-07-17,Cinema,205.61,Entertainment
2025-04-26,Sui Gas,323.76,Utilities
2026-02-26,House Leasing,453.36,Rent
2025-07-08,Sambosa,382.45,Food
2025-11-10,Bykea,422.69,Transport
2025-10-06,Bykea,362.35,Transport
2025-06-20,Grocery,157.62,Shopping
2025-06-18,Concert Ticket,309.76,Entertainment
2025-10-24,Eid Clothes,474.25,Shopping
2025-06-03,Bus Ticket,376.76,Transport
2025-06-24,Train Ticket,230.46,Travel
2025-09-01,Electric Bill,413.8,Utilities
2025-04-18,Shell Oil,154.12,Transport
2025-07-04,Hotel Booking,147.15,Travel
2026-02-27,Bykea,45.36,Transport
2025-10-29,Panadol,363.67,Health
2025-11-20,Medical Store,163.15,Health
2025-04-01,Uber Ride,35.28,Transport
2025-07-26,PIA Ticket,64.76,Travel
2025-09-22,PSO Pump,293.78,Transport
2025-05-08,Careem,180.85,Transport
2025-05-16,Pharmacy,359.64,Health
2025-10-08,Nueplex,239.66,Entertainment
2025-10-03,K-Electric,461.96,Utilities
2025-09-07,Hotel Booking,70.5,Travel
2025-06-05,Netflix Subscription,400.39,Subscriptions
2025-07-26,Bazaar,36.56,Shopping
2025-07-05,Cinema,88.27,Entertainment
2025-10-07,Train Ticket,131.33,Travel
2025-06-04,Hostel Dues,172.18,Rent
2025-11-04,Cloud Storage,135.09,Subscriptions
2025-05-29,Biryani,431.57,Food
2025-05-23,Emirates Airline,480.5,Travel
2026-03-14,Panadol,437.25,Health
2025-06-17,Bazaar,100.38,Shopping
2025-07-28,Cloud Storage,123.39,Subscriptions
2025-04-16,Hotel Booking,483.52,Travel
2025-07-24,Spotify Premium,392.69,Subscriptions
2025-11-10,Sui Gas,305.52,Utilities
2025-08-17,Bykea,208.77,Transport
2025-08-23,Cloud Storage,464.6,Subscriptions
2026-02-21,Train Ticket,382.23,Travel
2025-09-16,K-Electric,289.36,Utilities
2025-08-09,Water Bill,64.64,Utilities
2025-09-30,Train Ticket,10.47,Travel
2025-08-08,Steam Games,109.28,Entertainment
2025-10-28,Restaurant,365.58,Food
2025-11-10,Concert Ticket,175.86,Entertainment
2026-01-31,Spotify Premium,373.22,Subscriptions
2026-02-22,Water Bill,313.69,Utilities
2025-12-30,Sambosa,100.84,Food
2026-01-05,Sui Gas,85.74,Utilities
2026-01-25,Agha Khan Hospital,451.57,Health
2025-10-08,Hostel Dues,68.47,Rent
2025-08-25,Amazon,363.08,Shopping
2025-06-09,Concert Ticket,101.12,Entertainment
2025-11-24,Hotel Booking,459.44,Travel
2025-07-07,Cafe,259.67,Food
2025-09-01,Panadol,327.75,Health
2025-08-03,Shell Oil,329.16,Transport
2026-01-08,Concert Ticket,393.72,Entertainment
2025-10-15,Bykea,19.38,Transport
2025-08-04,Restaurant,330.43,Food
2025-07-01,Gym Membership,188.09,Subscriptions
2026-02-10,K-Electric,367.57,Utilities
2025-10-08,Uber Ride,170.74,Transport
2025-07-17,Sambosa,480.27,Food
2026-03-18,Walmart,248.18,Shopping
2026-02-01,Restaurant,264.29,Food
2026-02-11,Spotify Premium,117.95,Subscriptions
2025-06-22,Nueplex,427.14,Entertainment
2025-11-28,Sui Gas,71.5,Utilities
2025-04-11,K-Electric,446.25,Utilities
2025-07-29,McDonalds,127.46,Food
2025-04-25,Steam Games,157.31,Entertainment
2025-12-08,Concert Ticket,93.81,Entertainment
2025-10-05,Nueplex,204.92,Entertainment
2025-07-16,Sui Gas,305.88,Utilities
2025-09-21,Doctor Clinic,380.01,Health
2025-05-25,Cinema,340.26,Entertainment
2025-08-09,K-Electric,169.54,Utilities
2026-02-25,Medical Store,338.37,Health
2025-05-27,KFC,221.4,Food
2025-08-23,Daraz,123.54,Shopping
2025-05-17,Foodpanda,339.15,Food
2025-12-22,Water Bill,375.3,Utilities
2025-05-03,Walmart,138.03,Shopping
2025-08-21,Steam Games,113.64,Entertainment
2025-10-14,Train Ticket,451.5,Travel
2025-12-15,Emirates Airline,415.48,Travel
2026-01-16,Grocery,25.57,Shopping
2025-07-15,Apartment Rent,328.18,Rent
2025-04-30,Emirates Airline,296.94,Travel
2025-10-13,Cinema,380.02,Entertainment
2025-08-06,Shell Oil,123.94,Transport
2025-06-25,Apartment Rent,108.24,Rent
2025-12-15,Concert Ticket,440.83,Entertainment
2026-03-14,McDonalds,311.46,Food
2025-04-04,Electric Bill,314.27,Utilities
2026-02-06,Steam Games,213.82,Entertainment
2025-06-27,PIA Ticket,182.5,Travel
2025-07-23,Apartment Rent,78.83,Rent
2025-11-23,Sui Gas,161.47,Utilities
2025-10-02,Bykea,406.98,Transport
2025-05-26,Gym Membership,38.92,Subscriptions
2025-05-22,Cafe,279.22,Food
2025-11-12,PTCL Internet,382.32,Utilities
2025-08-19,Petrol,146.24,Transport
2025-11-17,Doctor Clinic,290.45,Health
2025-07-13,PIA Ticket,498.26,Travel
2025-07-23,PSO Pump,463.36,Transport
2025-04-27,Hotel Booking,77.35,Travel
2026-02-09,Nueplex,45.4,Entertainment
2026-01-02,Amazon,110.32,Shopping
2025-12-22,Bus Ticket,415.72,Transport
2025-05-23,Petrol,227.01,Transport
2025-11-25,Cloud Storage,413.71,Subscriptions
2025-11-11,Spotify Premium,361.12,Subscriptions
2026-02-03,PTCL Internet,154.21,Utilities
2025-06-20,Medical Store,361.97,Health
2025-11-20,PIA Ticket,230.83,Travel
2025-09-06,Bykea,365.06,Transport
2025-07-25,Bazaar,465.98,Shopping
2025-04-23,Bazaar,391.72,Shopping
2025-07-19,Panadol,362.8,Health
2025-08-23,Panadol,99.88,Health
2025-05-08,Foodpanda,454.08,Food
2025-09-28,Gym Membership,29.35,Subscriptions
2025-10-24,Cinema,432.15,Entertainment
2025-05-25,Cinema,349.41,Entertainment
2025-05-09,Steam Games,172.76,Entertainment
2025-09-04,Eid Clothes,304.96,Shopping
2026-01-13,Electric Bill,240.89,Utilities
2026-02-27,Shell Oil,38.6,Transport
2025-11-01,Concert Ticket,231.13,Entertainment
2025-06-15,Train Ticket,425.17,Travel
2025-05-30,Concert Ticket,99.77,Entertainment
2025-04-11,Steam Games,332.6,Entertainment
2025-04-11,Target,338.27,Shopping
2026-01-15,Water Bill,35.18,Utilities
2026-02-27,House Leasing,326.54,Rent
2025-11-06,Careem,484.55,Transport
2025-05-06,Gym Membership,178.18,Subscriptions
2025-10-27,Medical Store,272.12,Health
2025-09-09,Sambosa,406.14,Food
2025-12-11,Nueplex,273.92,Entertainment
2025-08-13,Medical Store,263.73,Health
2026-02-03,Spotify Premium,96.62,Subscriptions
2025-07-29,Sambosa,201.91,Food
2026-01-12,Agha Khan Hospital,64.3,Health
2025-06-07,Doctor Clinic,286.06,Health
2025-07-13,Biryani,26.83,Food
2026-03-11,Spotify Premium,52.2,Subscriptions
2025-08-30,Hotel Booking,316.97,Travel
2025-04-26,Apartment Rent,264.21,Rent
2025-12-26,Grocery,312.51,Shopping
2025-09-29,Bykea,77.46,Transport
2025-09-04,Apartment Rent,177.11,Rent
2025-08-17,Petrol,461.47,Transport
2025-12-27,Agha Khan Hospital,348.81,Health
2026-03-20,Netflix Subscription,302.7,Subscriptions
2025-11-29,Bus Ticket,86.57,Transport
2025-04-10,K-Electric,67.78,Utilities
2026-02-18,Uber Ride,220.58,Transport
2025-12-04,Hostel Dues,466.33,Rent
2026-01-16,Hostel Dues,211.1,Rent
2025-05-07,Target,252.14,Shopping
2025-04-07,KFC,232.5,Food
2025-11-16,Apartment Rent,137.05,Rent
2025-04-02,Bazaar,402.14,Shopping
2025-09-14,PIA Ticket,193.83,Travel
2025-09-07,Daraz,337.95,Shopping
2025-07-24,Medical Store,366.5,Health
2025-05-10,Doctor Clinic,79.69,Health
2026-03-17,Netflix Subscription,250.33,Subscriptions
2026-02-14,Bykea,238.87,Transport
2025-11-11,Hostel Dues,127.72,Rent
2025-05-24,Electric Bill,466.88,Utilities
2025-04-30,Steam Games,130.61,Entertainment
2025-11-21,KFC,88.03,Food
2025-11-09,Walmart,274.63,Shopping
2025-07-05,Electric Bill,226.65,Utilities
2025-04-26,Hotel Booking,6.61,Travel
2025-03-22,Steam Games,52.74,Entertainment
2025-12-28,PSO Pump,191.81,Transport
2026-02-11,Sui Gas,458.08,Utilities
2026-01-16,Concert Ticket,40.98,Entertainment
2025-06-26,Pharmacy,244.77,Health
2025-10-11,PTCL Internet,479.69,Utilities
2025-08-28,K-Electric,401.96,Utilities
2025-08-23,Medical Store,276.01,Health
2025-04-21,McDonalds,298.79,Food
2025-06-17,Daraz,433.28,Shopping
2025-03-22,Medical Store,274.03,Health
2026-03-17,Hotel Booking,222.35,Travel
2025-10-13,Grocery,68.16,Shopping
2025-07-07,Hostel Dues,334.65,Rent
2025-11-01,Imtiaz Super Market,254.48,Shopping
2026-01-14,Starbucks,194.41,Food
2025-10-08,Concert Ticket,73.65,Entertainment
2025-05-28,Amazon,160.57,Shopping
2025-11-01,Medical Store,291.75,Health
2025-07-19,Train Ticket,301.9,Travel
2025-07-02,Doctor Clinic,479.66,Health
2025-08-20,Train Ticket,378.51,Travel
2025-07-04,Concert Ticket,132.92,Entertainment
2025-03-22,Sui Gas,231.35,Utilities
2025-10-28,Cinema,381.37,Entertainment
2025-11-19,K-Electric,367.14,Utilities
2025-05-05,Eid Clothes,273.85,Shopping
2025-05-30,Doctor Clinic,55.18,Health
2025-06-25,Cloud Storage,302.21,Subscriptions
2026-01-31,Doctor Clinic,77.6,Health
2025-08-20,Nueplex,60.1,Entertainment
2025-12-29,Pharmacy,140.83,Health
2026-03-13,Medical Store,238.39,Health
2025-11-18,Sui Gas,446.89,Utilities
2025-11-14,Medical Store,50.15,Health
2025-04-17,Emirates Airline,60.6,Travel
2025-03-31,Train Ticket,414.56,Travel
2025-12-18,Concert Ticket,217.41,Entertainment
2025-09-25,Cinema,259.29,Entertainment
2025-12-29,Restaurant,252.93,Food
2026-03-05,Gym Membership,105.84,Subscriptions
2026-02-20,Pharmacy,406.99,Health
2025-04-27,Concert Ticket,305.1,Entertainment
2026-03-08,PIA Ticket,67.79,Travel
2026-01-21,Spotify Premium,81.84,Subscriptions
2025-12-24,Cloud Storage,155.39,Subscriptions
2026-01-26,Water Bill,370.24,Utilities
2026-01-13,PIA Ticket,461.3,Travel
2025-11-30,Imtiaz Super Market,46.2,Shopping
2025-09-04,Emirates Airline,497.51,Travel
2025-11-01,Netflix Subscription,232.2,Subscriptions
2025-09-17,Netflix Subscription,397.87,Subscriptions
2025-05-29,PTCL Internet,351.48,Utilities
2025-09-10,House Leasing,267.37,Rent
2026-03-19,Uber Ride,180.84,Transport
2025-05-08,Netflix Subscription,448.67,Subscriptions
2026-01-10,Gym Membership,8.84,Subscriptions
2025-10-01,Nueplex,364.21,Entertainment
2025-04-03,Doctor Clinic,469.48,Health
2025-11-01,Hostel Dues,19.13,Rent
2026-02-24,Hostel Dues,468.45,Rent
2026-02-15,Water Bill,435.27,Utilities
2025-04-08,Sui Gas,497.32,Utilities
2025-06-06,Apartment Rent,175.58,Rent
2025-07-20,Sui Gas,46.53,Utilities
2025-09-11,Electric Bill,194.68,Utilities
2025-04-25,Petrol,357.07,Transport
2026-02-06,Careem,44.61,Transport
2025-08-08,PSO Pump,330.82,Transport
2025-07-19,Doctor Clinic,308.17,Health
2025-08-03,House Leasing,415.37,Rent
2025-12-14,Train Ticket,457.03,Travel
2025-09-18,Sambosa,307.28,Food
2026-03-09,Walmart,488.0,Shopping
2025-03-28,Nueplex,165.8,Entertainment
2026-03-20,Steam Games,352.23,Entertainment
2026-02-09,Cloud Storage,157.26,Subscriptions
2025-11-26,Eid Clothes,413.54,Shopping
2025-05-04,Hotel Booking,295.43,Travel
2025-09-16,Concert Ticket,272.25,Entertainment
2025-07-16,Bus Ticket,307.8,Transport
2025-08-22,Imtiaz Super Market,343.22,Shopping
2025-07-15,Bus Ticket,420.22,Transport
2025-04-26,House Leasing,88.01,Rent
2025-04-17,Steam Games,171.87,Entertainment
2025-06-20,Target,120.89,Shopping
2026-01-04,Train Ticket,474.98,Travel
2026-03-06,Spotify Premium,15.67,Subscriptions
2025-07-19,PIA Ticket,425.84,Travel
2025-05-14,Steam Games,465.22,Entertainment
2025-12-25,Spotify Premium,69.8,Subscriptions
2025-08-09,Spotify Premium,407.2,Subscriptions
2025-08-12,InDrive,438.0,Transport
2025-04-22,Cloud Storage,408.36,Subscriptions
2025-07-03,Medical Store,193.97,Health
2025-07-27,Sui Gas,111.88,Utilities
2026-01-26,KFC,302.87,Food
2025-03-25,Medical Store,409.78,Health
2025-04-14,Gym Membership,129.27,Subscriptions
2025-11-12,Apartment Rent,16.97,Rent
2025-04-18,Nueplex,254.51,Entertainment
2025-11-09,Netflix Subscription,474.5,Subscriptions
2026-01-17,Gym Membership,291.62,Subscriptions
2025-10-19,Concert Ticket,271.96,Entertainment
2026-02-19,Gym Membership,319.51,Subscriptions
2026-03-06,Petrol,379.37,Transport
2025-07-02,Medical Store,143.67,Health
2025-07-07,Medical Store,12.18,Health
2026-01-13,Cafe,253.11,Food
2026-01-03,PIA Ticket,480.58,Travel
2025-12-03,Agha Khan Hospital,322.42,Health
2025-10-20,Spotify Premium,272.3,Subscriptions
2025-10-01,Bazaar,74.77,Shopping
2025-10-12,Steam Games,397.33,Entertainment
2026-02-26,Panadol,6.41,Health
2026-03-16,Cinema,436.54,Entertainment
2025-09-12,Hotel Booking,161.85,Travel
2025-04-25,Netflix Subscription,443.78,Subscriptions
2025-06-15,Sui Gas,289.45,Utilities
2025-12-13,Petrol,105.01,Transport
2025-12-11,Train Ticket,81.49,Travel
2025-09-05,Water Bill,204.49,Utilities
2026-01-19,Eid Clothes,223.17,Shopping
2025-05-24,PTCL Internet,265.78,Utilities
2025-06-20,Daraz,24.81,Shopping
2026-01-05,Apartment Rent,421.76,Rent
2025-11-10,Medical Store,34.28,Health
